modules,go.opentelemetry.io/collector,k8s.io/kubernetes,github.com/prometheus/prometheus
go.etcd.io/etcd/client/pkg/v3,-,v3.5.16,-
github.com/Azure/azure-sdk-for-go/sdk/azidentity,-,-,v1.8.0
github.com/hashicorp/go-cleanhttp,-,-,v0.5.2
github.com/hashicorp/go-hclog,-,-,v1.6.3
github.com/grpc-ecosystem/go-grpc-middleware,-,v1.3.0,-
github.com/golang-jwt/jwt/v4,-,v4.5.1,-
k8s.io/mount-utils,-,v0.0.0,-
github.com/gorilla/websocket,-,v1.5.0,v1.5.0
github.com/envoyproxy/protoc-gen-validate,-,-,v1.1.0
github.com/google/cadvisor,-,v0.51.0,-
github.com/chai2010/gettext-go,-,v1.0.2,-
go.etcd.io/etcd/client/v3,-,v3.5.16,-
github.com/miekg/dns,-,-,v1.1.62
github.com/google/shlex,-,v0.0.0-20191202100458-e7afc7fbc510,-
github.com/mistifyio/go-zfs,-,v2.1.2-0.20190413222219-f784269be439+incompatible,-
github.com/golang/snappy,-,-,v0.0.4
github.com/davecgh/go-spew,v1.1.1,v1.1.2-0.20180830191138-d8f796af33cc,v1.1.2-0.20180830191138-d8f796af33cc
github.com/google/pprof,-,v0.0.0-20241029153458-d1b30febd7db,v0.0.0-20240711041743-f6c9dda6c6da
github.com/cespare/xxhash/v2,-,v2.3.0,v2.3.0
github.com/go-task/slim-sprig/v3,-,v3.0.0,-
github.com/hashicorp/golang-lru,-,-,v0.6.0
github.com/envoyproxy/go-control-plane,-,-,v0.13.1
github.com/klauspost/compress,-,-,v1.17.11
github.com/pkg/errors,-,v0.9.1,v0.9.1
github.com/pbnjay/memory,-,-,v0.0.0-20210728143218-7b4eea64cf58
golang.org/x/term,-,v0.27.0,v0.27.0
github.com/armon/go-socks5,-,v0.0.0-20160902184237-e75332964ef5,-
github.com/vishvananda/netlink,-,v1.3.1-0.20240905180732-b1ce50cfa9be,-
golang.org/x/crypto,-,v0.31.0,v0.30.0
go.etcd.io/bbolt,-,v1.3.11,-
google.golang.org/protobuf,v1.35.1,v1.35.1,v1.35.2
k8s.io/apiserver,-,v0.0.0,-
cel.dev/expr,-,v0.18.0,-
go.etcd.io/etcd/server/v3,-,v3.5.16,-
github.com/golang/glog,-,-,v1.2.2
github.com/hashicorp/go-rootcerts,-,-,v1.0.2
github.com/morikuni/aec,-,-,v1.0.0
k8s.io/code-generator,-,v0.0.0,-
go.etcd.io/etcd/api/v3,-,v3.5.16,-
github.com/google/gnostic-models,-,v0.6.9,v0.6.8
github.com/golang-jwt/jwt/v5,-,-,v5.2.1
github.com/edsrzf/mmap-go,-,-,v1.2.0
github.com/blang/semver/v4,-,v4.0.0,-
golang.org/x/sync,-,v0.10.0,v0.10.0
github.com/antlr4-go/antlr/v4,-,v4.13.0,-
k8s.io/endpointslice,-,v0.0.0,-
go.opentelemetry.io/proto/otlp,-,v1.3.1,v1.3.1
github.com/KimMachineGun/automemlimit,-,-,v0.6.1
go.opencensus.io,-,-,v0.24.0
k8s.io/klog,-,-,v1.0.0
gopkg.in/yaml.v3,v3.0.1,v3.0.1,v3.0.1
go.uber.org/goleak,v1.3.0,v1.3.0,v1.3.0
k8s.io/system-validators,-,v1.9.1,-
go.uber.org/multierr,-,v1.11.0,v1.11.0
k8s.io/utils,-,v0.0.0-20241104100929-3ea5e8cea738,v0.0.0-20240711033017-18e509b52bc8
github.com/golang/protobuf,-,v1.5.4,v1.5.4
go.mongodb.org/mongo-driver,-,-,v1.14.0
github.com/mwitkow/go-conntrack,-,-,v0.0.0-20190716064945-2f068394615f
github.com/kr/pretty,v0.3.1,-,-
k8s.io/externaljwt,-,v0.0.0,-
github.com/prometheus/common,-,v0.55.0,v0.61.0
github.com/JeffAshton/win_pdh,-,v0.0.0-20161109143554-76bb4ee9f0ab,-
github.com/ionos-cloud/sdk-go/v6,-,-,v6.3.0
github.com/containerd/log,-,v0.1.0,v0.1.0
github.com/go-logr/logr,-,v1.4.2,v1.4.2
gotest.tools/v3,-,-,v3.0.3
go.uber.org/automaxprocs,-,-,v1.6.0
github.com/go-openapi/errors,-,-,v0.22.0
github.com/josharian/intern,-,v1.0.0,v1.0.0
github.com/go-openapi/jsonreference,-,v0.20.2,v0.20.4
github.com/emicklei/go-restful/v3,-,v3.11.0,v3.11.0
k8s.io/pod-security-admission,-,v0.0.0,-
github.com/x448/float16,-,v0.8.4,v0.8.4
github.com/containerd/containerd/api,-,v1.7.19,-
github.com/coredns/corefile-migration,-,v1.0.24,-
github.com/grpc-ecosystem/go-grpc-prometheus,-,v1.2.0,-
github.com/russross/blackfriday/v2,-,v2.1.0,-
github.com/Azure/azure-sdk-for-go/sdk/azcore,-,-,v1.16.0
sigs.k8s.io/json,-,v0.0.0-20241010143419-9aa6b5e7a4b3,v0.0.0-20221116044647-bc3834ca7abd
github.com/prometheus/common/assets,-,-,v0.2.0
github.com/mattn/go-isatty,-,-,v0.0.20
github.com/mitchellh/go-homedir,-,-,v1.1.0
github.com/prometheus/client_golang,-,v1.19.1,v1.20.5
github.com/containerd/cgroups/v3,-,-,v3.0.3
cloud.google.com/go/auth/oauth2adapt,-,-,v0.2.5
sigs.k8s.io/kustomize/kyaml,-,v0.18.1,-
github.com/json-iterator/go,-,v1.1.12,v1.1.12
github.com/mohae/deepcopy,-,v0.0.0-20170929034955-c48cc78d4826,-
github.com/soheilhy/cmux,-,v0.1.5,-
gopkg.in/yaml.v2,-,-,v2.4.0
github.com/hashicorp/nomad/api,-,-,v0.0.0-20240717122358-3d93bd3778f3
